Average waiting time: 5606.102244389028
pNumber,burstTime,arrivalTime,waitingTime,endTime
362,35,2,0,37,
104,32,6,31,69,
317,21,6,63,90,
17,17,8,82,107,
181,25,13,94,132,
280,22,13,119,154,
329,28,13,141,182,
137,29,14,168,211,
334,21,14,197,232,
2,33,17,215,265,
30,30,19,246,295,
93,23,19,276,318,
100,30,19,299,348,
150,27,19,329,375,
86,38,22,353,413,
316,26,22,391,439,
105,19,23,416,458,
354,36,24,434,494,
199,26,28,466,520,
28,30,29,491,550,
166,33,30,520,583,
322,29,33,550,612,
356,30,33,579,642,
391,28,33,609,670,
32,27,34,636,697,
293,25,34,663,722,
308,22,35,687,744,
136,28,38,706,772,
208,28,38,734,800,
310,34,38,762,834,
18,36,40,794,870,
390,33,41,829,903,
31,37,43,860,940,
266,28,44,896,968,
288,35,44,924,1003,
281,34,45,958,1037,
257,25,47,990,1062,
183,34,50,1012,1096,
6,28,52,1044,1124,
26,28,54,1070,1152,
161,22,54,1098,1174,
89,27,56,1118,1201,
108,23,61,1140,1224,
365,34,61,1163,1258,
353,29,62,1196,1287,
39,31,63,1224,1318,
301,21,63,1255,1339,
304,33,63,1276,1372,
345,21,63,1309,1393,
9,20,64,1329,1413,
163,30,64,1349,1443,
197,28,65,1378,1471,
398,31,66,1405,1502,
122,34,68,1434,1536,
364,39,68,1468,1575,
256,27,69,1506,1602,
234,25,70,1532,1627,
236,22,73,1554,1649,
263,33,73,1576,1682,
135,26,75,1607,1708,
340,29,75,1633,1737,
55,32,76,1661,1769,
343,32,76,1693,1801,
118,24,82,1719,1825,
1,19,83,1742,1844,
298,23,83,1761,1867,
4,27,86,1781,1894,
74,23,88,1806,1917,
259,34,88,1829,1951,
231,29,89,1862,1980,
267,26,90,1890,2006,
321,23,90,1916,2029,
271,33,92,1937,2062,
393,31,92,1970,2093,
114,25,93,2000,2118,
392,32,93,2025,2150,
396,23,95,2055,2173,
91,23,97,2076,2196,
220,36,98,2098,2232,
167,31,99,2133,2263,
272,25,99,2164,2288,
143,30,101,2187,2318,
372,31,103,2215,2349,
245,25,107,2242,2374,
300,25,108,2266,2399,
249,23,109,2290,2422,
235,36,111,2311,2458,
47,34,112,2346,2492,
139,24,112,2380,2516,
185,29,112,2404,2545,
204,34,115,2430,2579,
380,39,117,2462,2618,
328,26,119,2499,2644,
239,32,121,2523,2676,
320,31,121,2555,2707,
